Order,Taxon,N_sequences,Checklist,spID,ASAP,min_new_Germany,max_new_Germany,max_min_dif,Chao1_spID,Chao1_spID_se,Chao1_ASAP,Chao1_ASAP_se,ACE_spID,ACE_spID_se,ACE_ASAP,ACE_ASAP_se
Diptera,Cecidomyiidae,1032,53,337,327,274,284,10,488.91,32.24,470.92,31.36,566.55,38.23,544.65,37.2
Diptera,Limoniidae,2458,292,193,183,1,1,0,293,NA,293,NA,293,NA,293,NA
Diptera,Phoridae,9091,248,291,303,43,55,12,343.8,17.15,361.3,18.26,376.31,21.17,396.33,22.42
Diptera,Psychodidae,1944,155,94,84,8,8,0,163,NA,163,NA,163,NA,163,NA
Diptera,Sciaridae,2936,343,214,202,62,62,0,405,NA,405,NA,405,NA,405,NA
Hymenoptera,Braconidae,5031,252,298,302,46,50,4,324.5,9.71,334.22,11.03,350.51,13.65,363.73,15.18
Hymenoptera,Ceraphronidae,2003,12,227,198,186,215,29,318.38,27.34,255.97,20.14,358.42,31.48,285,23.78
Hymenoptera,Diapriidae,8381,289,318,422,29,133,104,566.88,62.41,575.82,35.1,632.91,67.03,644.34,40.53
Hymenoptera,Encyrtidae,2205,193,300,374,107,181,74,501.09,49.07,659.43,60.8,566.19,53.94,746.62,66.34
Hymenoptera,Eulophidae,4311,442,504,X,62,62,0,761.71,47.53,761.71,47.53,868.27,54.18,868.27,54.18
Hymenoptera,Eurytomidae,2063,59,109,130,50,71,21,137.15,14.7,166.55,17.29,150.16,17.09,182.57,19.91
Hymenoptera,Figitidae,2352,96,185,205,89,109,20,258.81,26.52,295.71,30.53,287.34,29.91,328.75,34.11
Hymenoptera,Megaspilidae,228,24,63,62,38,39,1,106.49,21.43,106.8,22.65,122.18,23.95,122,25.1
Hymenoptera,Platygastridae,1243,80,185,187,105,107,2,303.17,34.59,305.17,34.59,346.76,38.73,348.76,38.73
Hymenoptera,Pteromalidae,2640,497,410,398,41,41,0,552.56,30.46,536.18,30.38,628.61,36.44,608.24,36.17
Hymenoptera,Scelionidae,3912,58,275,267,209,217,8,435.7,44.11,386.37,33.33,487.24,48.43,433.4,37.69
,,,,,,,,,,,,,,,,
,,Diptera,1091,1129,1099,388,410,22,1693.71,49.39,1693.22,49.62,1803.86,59.4,1801.98,59.62
,,Hym,2002,2874,2545,962,1225,263,4266.44,367.87,4383.93,343.37,4798.59,414.83,4931.68,391.72
